species_orig,species,lifestage,movement_type,location_habitat,parameter,movement_area_km2,linear_dist_orig,linear_dist_km,linear_dist_calc,Source
Epinephelus multinotatus,Epinephelus multinotatus,,home range,"Ningaloo Reef, Western Australia (coral reef) PAT",Mean (SD) (KUD95) 3,NA,2.1 (1.21) MFF,2.1,MFF,Pillans et al. (2011)
Epinephelus tauvina,Epinephelus tauvina,,home range,"Ningaloo Reef, Western Australia (coral reef) PAT",Range (KUD95) 2,1.61,1.6-1.9 MFF,1.75,MFF,Pillans et al. (2011)
Epinephelus tauvina,Epinephelus tauvina,,home range,"Ningaloo Reef, Western Australia (coral reef) PAT",Mean (SD) (KUD95) 2,1.61,1.8 (0.23) MFF,1.8,MFF,Pillans et al. (2011)
Mycteroperca microlepis,Mycteroperca microlepis,,home range,"Gulf of Mexico (offshore, sand%hyphen%hardbottom substrate) PAT",Range (KDE95) 5,0.003343,0.024-0.039,0.0315,,Biesinger et al. (2013)
Mycteroperca microlepis,Mycteroperca microlepis,,home range,"Gulf of Mexico (offshore, sand%hyphen%hardbottom substrate) PAT",Mean (SD) (KDE95) 5,0.003412,0.031 (0.005),0.031,,Biesinger et al. (2013)
Mycteroperca microlepis,Mycteroperca microlepis,,home range,"Gulf of Mexico, Suwannee Regional Reef System (offshore artificial reefs) AAT",Range (MCP) 14,0.13345,0.2-1.1,0.65,,Kiel (2004)
Mycteroperca microlepis,Mycteroperca microlepis,,home range,"Gulf of Mexico, Suwannee Regional Reef System (offshore artificial reefs) AAT",Mean (SD) (MCP) 14 ,0.0343,0.255 (0.283),0.255,,Kiel (2004)
Plectropomus areolatus,Plectropomus areolatus,,home range,"Pohnpei, Micronesia (outer slope, channel and lagoon) AAT ",Range  (KUD95) 6,6.002,,2.764413816,,Hutchinson & Rhodes (2010)
Plectropomus areolatus,Plectropomus areolatus,,home range,"Pohnpei, Micronesia (outer slope, channel and lagoon) AAT ",Mean (SD) (KUD95) 6,0.048,,0.247215489,,Hutchinson & Rhodes (2010)
Plectropomus areolatus,Plectropomus areolatus,,home range,"Pohnpei, Micronesia (outer slope, channel and lagoon) AAT ",Range 6,NA,0.21-0.96 MFF,0.585,MFF,Hutchinson & Rhodes (2010)
Plectropomus areolatus,Plectropomus areolatus,,home range,"Pohnpei, Micronesia (outer slope, channel and lagoon) AAT ",Mean (SD) 6,NA,0.54 (0.25) MFF,0.54,MFF,Hutchinson & Rhodes (2010)
Plectropomus leopardus,Plectropomus leopardus,,intra%hyphen%reef (home range),New Caledonia (lagoon patch reefs and soft bottom) PAT,Most (92%) 12,NA,"0.6-2 MFF, MPM",1.3,"MFF, MPM",Chateau & Wantiez (2008b)
Plectropomus leopardus,Plectropomus leopardus,,home range,"Ningaloo, Western Australia (coral reef ) PAT",Maximum (KUD95) 1,NA,1.4 MFF,1.4,MFF,Pillans et al. (2011)
Plectropomus leopardus,Plectropomus leopardus,,home range,"Great Barrier Reef (coral reef) TMR, UO",Range 59,NA,<0.01-7.5,3.755,,Samoilys (1997)
Plectropomus leopardus,Plectropomus leopardus,,home range,"Great Barrier Reef (coral reef) TMR, UO",Mean (SD) 59,NA,0.37 (1.33),0.37,,Samoilys (1997)
Plectropomus leopardus,Plectropomus leopardus,,home range,"Lizard Island, Great Barrier Reef (reef slopes and backreef) AAT",Range 39,NA,0-1.1,0.55,,Zeller (1997)
Plectropomus leopardus,Plectropomus leopardus,,home range,"Lizard Island, Great Barrier Reef (reef slopes and backreef) AAT",Mean (SD) 39,NA,0.192 (0.03),0.192,,Zeller (1997)
Plectropomus leopardus,Plectropomus leopardus,,home range,"Lizard Island, Great Barrier Reef (reef slopes and backreef) TMR",Maximum 116,NA,>0.1,0.1,,Zeller et al. (2003)
Serranus cabrilla,Serranus cabrilla,,home range,"Mallorca Island, Spain (seagrass, soft bottom, artificial reefs) PAT",Range (KUD95) 12,0.82,,1.021790794,,Alós et al. (2011)
Serranus cabrilla,Serranus cabrilla,,home range,"Mallorca Island, Spain (seagrass, soft bottom, artificial reefs) PAT",Mean (SD) (KUD95) 12,0.77,,0.990148701,,Alós et al. (2011)
Serranus cabrilla,Serranus cabrilla,,home range,"Mallorca Island, Spain (seagrass, soft bottom, artificial reefs) PAT",Range (KUD95) 6,NA,0.7-1.3 MFF,1,MFF,Alós et al. (2011)
Serranus cabrilla,Serranus cabrilla,,home range,"Mallorca Island, Spain (seagrass, soft bottom, artificial reefs) PAT",Mean (SD) (KUD95) 6,NA,1.0 (0.20) MFF,1,MFF,Alós et al. (2011)
Variola louti,Variola louti,,home range,"Ningaloo, Western Australia (coral reef ) PAT",Range (KUD95) 3,1.75,1.3-2.6 MFF,1.95,MFF,Pillans et al. (2011)
Variola louti,Variola louti,,home range,"Ningaloo, Western Australia (coral reef ) PAT",Mean (SD) (KUD95) 3,NA,2.1 (0.67) MFF,2.1,MFF,Pillans et al. (2011)
Asterropteryx semipunctatus,Asterropteryx semipunctatus,,home range,"Orpheus Island (inner reef flat, microatolls on sand) UO",Maximum 45,NA,0.002,0.002,,Hernaman (2003)
Istigobius goldmanni,Istigobius goldmanni,,home range,"Orpheus Island (inner reef flat, microatolls on sand) UO",Maximum 45,NA,0.004,0.004,,Hernaman (2003)
Amblygobius bynoensis,Amblygobius bynoensis,,home range,"Orpheus Island (inner reef flat, microatolls on sand) UO",Maximum 45,NA,0.006,0.006,,Hernaman (2003)
Amblygobius phalaena,Amblygobius phalaena,,home range,"Orpheus Island (inner reef flat, microatolls on sand) UO",Maximum 45,NA,0.005,0.005,,Hernaman (2003)
Valenciennea muralis,Valenciennea muralis,,home range,"Orpheus Island (inner reef flat, microatolls on sand) UO",Maximum 45,NA,0.006,0.006,,Hernaman (2003)
